"instance_id","artist_name","track_name","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","obtained_date","valence","music_genre"
67938,"Jamey Johnson","Dog In The Yard",37,0.0534,0.601,205347,0.446,0.0023,"F",0.135,-11.032,"Minor",0.0409,77.894,"4-Apr",0.431,"Country"
75102,"Nick Jonas","Close",72,0.253,0.653,-1,0.623,0,"F#",0.144,-5.273,"Minor",0.0819999999999999,123.999,"4-Apr",0.401,"Rap"
33283,"George Strait","Love Without End, Amen",55,0.45,0.631,187000,0.426,0,"A",0.11,-12.819,"Major",0.0268,88.261,"4-Apr",0.596,"Country"
89809,"Galactic","Stax Jam",26,0.515,0.631,190960,0.357,0.893,"D",0.0906,-13.783,"Major",0.0467,170.841,"4-Apr",0.657,"Blues"
80746,"BRADIO","Once Again",21,0.026,0.556,260303,0.885,0,"C",0.308,-3.5,"Minor",0.0679,129.052,"4-Apr",0.683,"Anime"
69415,"South Park Mexican","Mexican Radio",55,0.0637,0.746,284960,0.487,0,"D#",0.303,-5.626,"Minor",0.0738,74.964,"4-Apr",0.283,"Rap"
67022,"empty_field","Said No One Ever",36,0.0276,0.638,172760,0.859,0,"G#",0.157,-4.675,"Major",0.0902,130.022,"4-Apr",0.816,"Country"
67913,"Ralph Myerz and the Herren Band","Think Twice",43,0.102,0.751,278173,0.871,0.465,"C",0.318,-5.755,"Major",0.0366,124.391,"4-Apr",0.794,"Jazz"
24227,"Robert Plant","Shine It All Around - 2006 Remastered Version",33,0.0147,0.555,-1,0.681,0.263,"F#",0.0977,-5.522,"Minor",0.0552,80.461,"4-Apr",0.421,"Blues"
45910,"Chris Thile","Stanley Ann",25,0.989,0.403,307053,0.0735,0.0161,"D#",0.102,-18.042,"Minor",0.0536,82.011,"3-Apr",0.145,"Classical"
30828,"Bent","Magic Love - Radio Edit",38,0.0816,0.689,202333,0.874,0.129,"A",0.272,-5.275,"Minor",0.0464,121.019,"4-Apr",0.961,"Electronic"
31638,"Kodak Black","Young Prodigy",56,0.109,0.839,189518,0.613,0,"G#",0.168,-5.685,"Major",0.327,136.081,"4-Apr",0.533,"Hip-Hop"
37058,"Bryan Adams","(Everything I Do) I Do It For You",67,0.0816,0.519,394133,0.372,4.67e-05,"C#",0.0652,-12.635,"Major",0.0284,131.227,"4-Apr",0.298,"Rock"
77384,"JayKode","Artifacts",32,0.00456,0.57,223200,0.788,0.000358,"E",0.112,-3.569,"Major",0.0798,100.113,"4-Apr",0.0558,"Electronic"
36066,"John Mayer","Dreaming with a Broken Heart",67,0.557,0.608,245747,0.351,0.00892,"C",0.201,-9.316,"Major",0.03,135.976,"4-Apr",0.157,"Rock"
40781,"The Band","Down South in New Orleans (feat. Bobby Charles) - Concert Version",35,0.137,0.383,191000,0.932,0,"G",0.939,-7.024,"Major",0.407,150.616,"4-Apr",0.837,"Blues"
83465,"André Laplante","Une Barque Sur L'océan from Miroirs",44,0.981,0.292,430568,0.113,0.887,"D",0.0871,-21.698,"Major",0.0403,68.081,"3-Apr",0.0308,"Classical"
56210,"Sara Evans","A Little Bit Stronger",64,0.282,0.536,-1,0.65,1.16e-06,"D",0.0876,-5.603,"Major",0.0337,147.93,"4-Apr",0.288,"Country"
35717,"Lolo Zouaï","Chevy Impala",44,0.311,0.629,201947,0.483,3.22e-05,"G#",0.177,-8.131,"Major",0.0929,174.046,"4-Apr",0.152,"Alternative"
68496,"Jonny Greenwood","Phantom Thread I",39,0.982,0.101,-1,0.163,0.905,"E",0.0906,-18.659,"Minor",0.0486,78.828,"4-Apr",0.0307,"Classical"
33832,"empty_field","Beautiful Scars (feat. PnB Rock)",53,0.0478,0.725,187317,0.74,0,"B",0.325,-5.414,"Minor",0.261,122.839,"4-Apr",0.56,"Rap"
37915,"Stevie Ray Vaughan","Scratch-N-Sniff",35,0.326,0.568,161733,0.893,0.0535,"G#",0.0674,-11.128,"Major",0.0336,165.212,"4-Apr",0.927,"Blues"
56280,"Future","Poppin' Tags",51,0.00103,0.857,218521,0.601,1.58e-05,"D",0.149,-5.837,"Major",0.0782,147.076,"4-Apr",0.279,"Hip-Hop"
40969,"Gioachino Rossini","Tancredi: Sinfonia",4,0.862,0.244,366040,0.156,0.426,"D",0.105,-19.141,"Major",0.0514,176.275,"4-Apr",0.049,"Classical"
44661,"Claude Debussy","Préludes - Book 1, L. 117 : 6. Des pas sur la neige",26,0.993,0.505,258560,0.00106,0.874,"F",0.0898,-39.482,"Major",0.0798,132.165,"4-Apr",0.147,"Classical"
62729,"Jon Batiste","Moon River",37,0.827,0.525,324973,0.15,0.417,"C",0.0778,-14.915,"Major",0.039,123.566,"4-Apr",0.201,"Jazz"
59234,"Future Islands","Little Dreamer",47,0.74,0.783,235912,0.382,0.000192,"A#",0.461,-10.352,"Major",0.0274,125.022,"4-Apr",0.231,"Alternative"
21745,"Tim McGraw","Down On The Farm",54,0.115,0.721,178867,0.735,0,"F",0.0499,-11.849,"Minor",0.0284,127.575,"4-Apr",0.961,"Country"
20545,"LiSA","No More Time Machine",36,0.116,0.606,293440,0.943,0,"F",0.336,-3.722,"Major",0.063,136.938,"4-Apr",0.753,"Anime"
20757,"Flo Rida","Right Round",73,0.009,0.72,204640,0.672,0,"G",0.232,-6.852,"Major",0.0551,124.986,"4-Apr",0.705,"Hip-Hop"
46117,"Antonio Vivaldi","The Four Seasons (Le quattro stagioni), Op. 8 - Violin Concerto No. 4 in F Minor, RV 297, ""Winter"" (L'inverno): II. Largo",37,0.885,0.309,128773,0.106,0.00426,"A#",0.215,-24.657,"Major",0.0538,70.501,"4-Apr",0.316,"Classical"
61455,"Johann Pachelbel","Canon In D",25,0.751,0.12,301693,0.12,0.937,"D",0.109,-18.738,"Major",0.0358,84.566,"4-Apr",0.101,"Classical"
31285,"empty_field","Give It Away",70,0.00244,0.666,282907,0.936,0.086,"G",0.153,-9.919,"Major",0.0476,91.577,"4-Apr",0.776,"Alternative"
82793,"Total Giovanni","When We Break",58,0.0914,0.792,284327,0.641,0.0577,"C",0.103,-9.242,"Major",0.0795,111.794,"4-Apr",0.674,"Alternative"
74216,"Gustav Mahler","Symphony No. 2 in C Minor ""Resurrection"": 1. Allegro maestoso. Mit durchaus ernstem und feierlichem Ausdruck",15,0.922,0.155,1229800,0.0713,0.831,"G",0.0661,-19.241,"Major",0.0385,79.587,"4-Apr",0.0725,"Classical"
68000,"Frédéric Chopin","12 Etudes, Op.10: No. 3 In E ""Tristesse""",28,0.995,0.333,242533,0.0819,0.9,"E",0.0751,-21.431,"Major",0.0615,84.444,"3-Apr",0.037,"Classical"
49884,"4B","Ice Cold",30,0.0129,0.537,185600,0.813,0.00418,"D#",0.111,-4.489,"Minor",0.15,149.897,"4-Apr",0.116,"Electronic"
42651,"SAINt JHN","Trap (feat. Lil Baby)",69,0.0862,0.792,184699,0.839,0,"C",0.194,-2.887,"Major",0.0429,116.985,"4-Apr",0.354,"Rap"
68893,"Richard Strauss","Arabella, Op. 79, TrV 263, Act II: Der ball begehrt nach seiner Königin (Live)",0,0.86,0.36,149760,0.296,2e-04,"A",0.682,-18.802,"Minor",0.321,102.087,"4-Apr",0.336,"Classical"
45773,"empty_field","Blue Almonds",25,0.43,0.664,148259,0.518,0.714,"A#",0.296,-7.352,"Minor",0.305,92.508,"4-Apr",0.661,"Jazz"
39812,"Esperanza Spalding","Earth To Heaven",46,0.184,0.696,229867,0.451,0,"C",0.0758,-7.604,"Minor",0.0264,104.965,"4-Apr",0.248,"Jazz"
24264,"Felix Mendelssohn","6 Preludes & Fugues, Op. 35: Prelude No. 1 in E Minor, MWV U 116",33,0.993,0.174,137000,0.125,0.903,"E",0.0653,-23.176,"Minor",0.0313,82.038,"4-Apr",0.0746,"Classical"
62636,"empty_field","Good Rockin' Daddy - Single Version",40,0.86,0.74,145120,0.397,0,"D#",0.37,-6.726,"Major",0.0407,113.835,"4-Apr",0.647,"Jazz"
65030,"Thee Oh Sees","Withered Hand",34,0.000295,0.118,210440,0.861,0.919,"G#",0.112,-7.829,"Major",0.0661,179.734,"4-Apr",0.148,"Blues"
55523,"Migos","Call Casting",59,0.0962,0.852,232705,0.727,0,"C#",0.154,-4.851,"Major",0.267,130.014,"4-Apr",0.496,"Hip-Hop"
31293,"Twenty One Pilots","Stressed Out",84,0.0462,0.734,202333,0.637,2.29e-05,"E",0.0602,-5.677,"Minor",0.141,169.977,"4-Apr",0.648,"Rock"
47287,"Sister Rosetta Tharpe","Rock Daniel (VD129)",30,0.887,0.523,160731,0.462,0.118,"A#",0.68,-11.471,"Major",0.073,173.331,"4-Apr",0.961,"Blues"
84680,"Brian Tarquin","Charlemagne",31,0.0649,0.634,230760,0.598,0.282,"F",0.0572,-9.456,"Major",0.0311,97.906,"4-Apr",0.417,"Jazz"
53349,"Adventure Club","Ghosts",40,0.334,0.533,162679,0.56,1.94e-05,"A#",0.112,-5.461,"Minor",0.0462,77.554,"4-Apr",0.139,"Electronic"
56455,"Russ Freeman","Anywhere Near You",30,0.349,0.66,285667,0.566,0.274,"G#",0.157,-7.7,"Major",0.0326,82.991,"4-Apr",0.313,"Jazz"
66517,"empty_field","That Ain't The Way You Make Love",34,0.413,0.576,225560,0.528,0.00168,"G#",0.124,-9.03,"Minor",0.0376,78.117,"4-Apr",0.716,"Blues"
59630,"Motohiro Hata","トレモロ降る夜",29,0.275,0.662,242093,0.711,0,"D#",0.174,-6.382,"Major",0.0313,123.957,"4-Apr",0.893,"Anime"
23476,"Imagine Dragons","Tiptoe",57,0.00157,0.527,193000,0.82,1.88e-05,"F#",0.0882,-5.855,"Major",0.0325,132.01,"4-Apr",0.25,"Rock"
61636,"DECO*27","Ai thinkso,",14,0.119,0.63,240413,0.809,0.000267,"D#",0.356,-3.611,"Major",0.035,123.957,"4-Apr",0.378,"Anime"
71630,"12th Planet","Forest Temple",27,0.0169,0.712,206400,0.942,0.612,"A",0.659,-2.525,"Minor",0.0547,112.495,"3-Apr",0.582,"Electronic"
36561,"Big Bill Broonzy","This Train (Bound For Glory)",25,0.953,0.676,190386,0.0961,0.0022,"F#",0.122,-16.107,"Minor",0.0608,173.67,"4-Apr",0.579,"Blues"
66470,"Blitzen Trapper","Black River Killer",47,0.636,0.637,208120,0.656,0.00692,"B",0.0941,-9.486,"Major",0.0431,80.438,"4-Apr",0.666,"Alternative"
32891,"Dirtwire","No More",36,0.567,0.685,227889,0.807,0.0162,"D",0.233,-6.441,"Major",0.092,98.97,"4-Apr",0.626,"Alternative"
62515,"Sugarland","Tonight",38,0.00547,0.606,273640,0.611,9.84e-05,"B",0.0977,-4.948,"Major",0.038,139.788,"4-Apr",0.293,"Country"
57175,"U2","Desire",65,0.000212,0.49,179360,0.827,0.00406,"G#",0.112,-9.481,"Major",0.0482,108.577,"4-Apr",0.626,"Rock"
20066,"Three Days Grace","It's All Over",50,0.00305,0.321,249320,0.82,0,"C",0.34,-4.459,"Minor",0.0422,165.272,"4-Apr",0.198,"Alternative"
49004,"MAXIMUM THE HORMONE","Akagi",29,0.000286,0.245,136507,0.913,3.7e-05,"G",0.34,-2.664,"Minor",0.125,129.328,"4-Apr",0.738,"Anime"
90154,"Phoebe Bridgers","Smoke Signals",62,0.945,0.342,324773,0.237,0.000267,"A#",0.112,-14.601,"Major",0.0384,99.868,"5-Apr",0.186,"Rock"
59701,"Chris Young","Aw Naw",61,0.0639,0.652,188707,0.859,0,"D",0.0777,-3.746,"Major",0.0358,109.971,"4-Apr",0.491,"Country"
64284,"Phil Vassar","Six Pack Summer",39,0.0746,0.661,-1,0.773,0,"C",0.55,-5.429,"Major",0.0437,98.888,"4-Apr",0.554,"Country"
76259,"Paolo Fresu","Le jardin des Fées",41,0.989,0.273,312063,0.139,0.926,"A",0.119,-15.384,"Minor",0.0368,132.169,"3-Apr",0.103,"Jazz"
63367,"KRANE","Icy",28,0.021,0.711,156000,0.726,0.534,"C#",0.0804,-4.959,"Major",0.0401,140.153,"4-Apr",0.132,"Electronic"
29362,"Ghostland Observatory","Sometimes",40,0.00818,0.679,254680,0.484,0.378,"G",0.109,-9.547,"Major",0.0559,94.012,"4-Apr",0.512,"Alternative"
86229,"Glen Campbell","Gentle On My Mind - Remastered",55,0.189,0.597,178627,0.415,0,"D#",0.123,-13.799,"Major",0.0323,108.987,"4-Apr",0.826,"Country"
77620,"Madonna","Like a Prayer",72,0.264,0.624,342680,0.842,2.11e-05,"F",0.181,-5.285,"Major",0.0376,111.037,"4-Apr",0.257,"Rock"
77439,"Ludwig van Beethoven","Beethoven: Symphony No. 9 in D Minor, 'Choral', Op. 125: IV. Presto - Allegro assai",31,0.922,0.192,-1,0.0256,0.828,"D",0.487,-23.898,"Major",0.0441,140.744,"4-Apr",0.108,"Classical"
39749,"Galactic","Goose Grease",27,0.00515,0.605,223499,0.551,0.55,"C",0.359,-8.01,"Minor",0.0424,170.017,"4-Apr",0.624,"Blues"
90946,"Petit Milady","360°星のオーケストラ",21,0.00257,0.384,299920,0.859,0,"D",0.133,-3.22,"Major",0.0573,171.977,"4-Apr",0.615,"Anime"
53927,"Bicep","Rain",50,0.0494,0.505,351252,0.904,0.854,"A#",0.072,-4.849,"Minor",0.0781,123.023,"4-Apr",0.237,"Electronic"
61646,"John Mayall & The Bluesbreakers","Key To Love - Mono",28,0.000121,0.376,125667,0.803,0,"A",0.149,-3.314,"Major",0.0319,97.843,"4-Apr",0.711,"Blues"
79391,"Flux Pavilion","Cannonball",34,0.000428,0.549,147929,0.997,0.915,"E",0.686,-2.215,"Minor",0.114,140.047,"4-Apr",0.356,"Electronic"
32772,"LiSA","Best Day, Best Way",30,0.17,0.409,285760,0.988,0,"G#",0.359,-1.124,"Major",0.158,179.795,"4-Apr",0.594,"Anime"
76370,"Capcom Sound Team","追求 〜大逆転のとき",19,0.00223,0.589,191893,0.533,0.953,"F",0.177,-9.588,"Minor",0.0296,133.051,"4-Apr",0.638,"Anime"
71912,"Flipp Dinero","Leave Me Alone",90,0.107,0.792,195637,0.743,0,"G",0.183,-2.806,"Major",0.0851,150.024,"4-Apr",0.742,"Hip-Hop"
79278,"JJ Grey & Mofro","I Believe (In Everything)",30,0.0659,0.48,-1,0.389,0.000315,"A",0.137,-8.464,"Major",0.0342,101.362,"4-Apr",0.276,"Blues"
64665,"Slowy","Showdown - Instrumental",46,0.633,0.797,146307,0.355,0.0015199999999999,"B",0.122,-8.615,"Major",0.138,110.545,"4-Apr",0.604,"Jazz"
75878,"Willie Colón","Yo Puedo Vivir Del Amor",39,0.367,0.566,513320,0.704,0,"F",0.175,-5.606,"Major",0.0406,104.983,"4-Apr",0.833,"Jazz"
41152,"Weval","The Battle",43,0.0295,0.762,252200,0.536,0.706,"C",0.0749,-12.549,"Major",0.0787,100.019,"4-Apr",0.133,"Electronic"
29191,"Brandon Ray","Bring Your Love Back",42,0.00497,0.602,148364,0.432,0,"D",0.0775,-5.322,"Minor",0.0793,165.972,"4-Apr",0.359,"Country"
57306,"The Replacements","Bastards of Young - 2008 Remastered Version",50,0.00573,0.438,218067,0.916,1.07e-06,"E",0.334,-8.318,"Major",0.124,143.101,"4-Apr",0.391,"Country"
48980,"Playboi Carti","Shoota (feat. Lil Uzi Vert)",80,0.191,0.674,153800,0.649,0,"C#",0.122,-8.433,"Minor",0.199,113.052,"4-Apr",0.48,"Rap"
62968,"empty_field","Code Red",63,0.326,0.801,218673,0.781,0,"A#",0.191,-6.175,"Minor",0.346,91.044,"4-Apr",0.667,"Hip-Hop"
66249,"UNKLE","Sunrise (Always Comes Around)",25,0.00398,0.568,373930,0.587,0.74,"A",0.684,-11.238,"Minor",0.0331,128.008,"4-Apr",0.038,"Electronic"
38197,"Three Days Grace","Pain",64,0.00804,0.416,202973,0.741,0,"G",0.273,-4.001,"Major",0.0335,160.515,"4-Apr",0.286,"Alternative"
58453,"Jerry Garcia","Sugaree",45,0.0914,0.663,352965,0.494,2.54e-05,"C#",0.123,-11.822,"Minor",0.0485,86.573,"4-Apr",0.672,"Blues"
47822,"Kenny Chesney","Back Where I Come From",49,0.142,0.593,-1,0.457,0.00221,"F#",0.0553,-8.74,"Major",0.0286,143.773,"4-Apr",0.366,"Country"
59674,"empty_field","嵐の中の恋だから",24,0.102,0.503,317853,0.929,0,"G",0.407,-3.562,"Major",0.0517,145.055,"4-Apr",0.666,"Anime"
25656,"Kelsea Ballerini","My Favorite Things",45,0.679,0.422,230286,0.357,2.49e-05,"D",0.129,-9.647,"Minor",0.0351,79.801,"3-Apr",0.41,"Jazz"
